Stage,25%,Central,Max,Theta,Alpha,Total
1,1.9000000000000001,3.7,11.200000000000001,0.00024742231429915134,6.448139279787105e-05,0.0007430338620869045
1,1.4000000000000001,2.7,8.1,0.0003477953727283672,4.4285074356114744e-05,0.0014937146916758244
1,1.5,3.5,9.700000000000001,0.0003282794240660978,6.291025301428931e-05,0.0009638633947977124
1,1.0,2.6,12.5,0.000246524133229689,0.00015764426429347287,0.0012442337767166684
1,1.1,2.3000000000000003,11.8,0.0003181231257126219,0.00014195863954950122,0.002016442243896212
1,1.0,2.5,9.8,0.000371898319010703,8.711116306442034e-05,0.0014508611457612081
1,1.4000000000000001,3.6,10.600000000000001,0.0004125136240235061,8.132391615552241e-05,0.0011806031272655162
1,1.3,2.9000000000000004,10.4,0.00019255582185605572,5.6636758831724315e-05,0.0007670854075773898
1,1.4000000000000001,4.4,13.3,0.0003250832313156514,0.00018264171557526933,0.0011025307994344488
1,0.9,2.2,9.9,0.0003153311276188165,0.00010797613663700761,0.001604345688403792
1,1.8,3.8000000000000003,10.8,0.0003989876802074369,0.00012084318084859018,0.001184843839984658
1,1.7000000000000002,4.5,15.8,0.00025726634870421896,8.272267267610397e-05,0.000736032523875848
1,1.0,2.6,11.0,0.0003426404807229344,0.00010493726797859818,0.001383919359249465
1,5.2,8.3,19.3,9.8113617872778e-05,0.00017907472667988813,0.00040448618280659393
1,4.2,7.7,19.3,0.00013037106154500748,0.000141657886540279,0.0004228536897949427
1,3.0,7.7,19.6,9.547403706076681e-05,0.00013649367982827387,0.0003901586175291326
1,2.9000000000000004,7.800000000000001,20.400000000000002,7.455780366296297e-05,0.0001234132511679716,0.0003529218579391526
1,3.2,7.7,21.400000000000002,8.050028972981721e-05,0.0001087863347476246,0.0003197312614398042
1,3.5,8.3,19.8,6.013707088069366e-05,0.00010885505853161016,0.00028992058373960704
1,6.2,8.3,17.6,0.00013507854523013725,0.0002543710100575547,0.0005292763387346608
1,0.1,0.2,4.3,0.00010899250872111602,7.924451786096116e-05,0.004911392817110629
1,5.4,8.5,19.3,0.00010072645053157298,0.00023830839284975865,0.0004920484850041723
1,4.6000000000000005,7.5,12.200000000000001,0.0002707741075156847,0.0002130144577391879,0.0006682952902718978
1,5.5,7.800000000000001,13.4,0.00022596372846090868,0.00023451889780576237,0.0006184404587788511
1,1.6,3.6,10.5,0.00028990041510175966,9.343839919914916e-05,0.0009021337583595273
1,1.0,2.2,11.200000000000001,0.00021435325272772216,9.252270973214154e-05,0.0012186849483639044
1,0.7000000000000001,1.9000000000000001,8.9,0.00034615151434015727,7.760043405725939e-05,0.0015621466643803194
1,0.6000000000000001,1.6,10.8,0.00018502426503597222,7.817616743395863e-05,0.0010575432592060021
1,1.1,2.3000000000000003,10.4,0.0002910104195116514,9.52947297941666e-05,0.001600016467013111
1,0.5,1.0,6.2,0.00027958123439480304,0.00011274772277126364,0.004998429272369133
1,1.2000000000000002,2.5,10.200000000000001,0.0003048529364782323,0.00010841107397678562,0.0016274490158062396
1,4.3,8.4,58.400000000000006,0.0002256500980249814,0.00017967663756765414,0.0009412572337557359
1,2.3000000000000003,4.9,12.0,0.00024973011615086625,7.680073812804401e-05,0.0006109853924485652
1,1.2000000000000002,3.0,12.200000000000001,0.00020888990231016623,7.614625380961262e-05,0.0008175099922889742
1,4.3,9.5,59.0,0.0002384460673267052,0.000144240563943976,0.0011843937904009762
1,3.8000000000000003,8.0,20.900000000000002,7.306083893922787e-05,0.00011005257307277624,0.0003032597965506388
